treeID,X_segmented,Y_segmented,Z_segmented,Point_count,H_segmented_m,Wood_points,Foliage_points,Wood_fraction,Valid_QSM_points,Eligible_for_QSM,X_root,Y_root,Z_root,DBH_cm,H_m,BA_m2,Total_wood_length_m,Volume_total_m3,Volume_Arbor_m3,Stem_length_m,Stem_volume_m3,Branch_count,Branch_length_total_m,Branch_volume_total_m3,B1_primary_count,B1_primary_length_m,B1_primary_volume_m3,B2_secondary_count,B2_secondary_length_m,B2_secondary_volume_m3,B3_tertiary_plus_count,B3_tertiary_plus_length_m,B3_tertiary_plus_volume_m3,Max_branch_order,Stem_volume_pct,Branch_volume_pct,B1_volume_pct,B2_volume_pct,B3_volume_pct,QSM_note,R,G,B,QSM_status,X_tree,Y_tree,Z_tree
1,20.76,20.39,9.89,39475,20.2136585365854,24592,14883,0.622976567447752,39475,TRUE,20.2518181818182,20.3745454545455,10.1842433234421,13.2467785049155,19.206,0.0137819424069799,165.818842995621,0.135487725403153,0.135,20.5439313444713,0.125387621437849,246,145.27491165115,0.0101001039653047,59,66.8682009198796,0.00793535643610232,123,59.0832368893658,0.00177877353871717,64,19.3234738419049,0.000385973990485253,6,92.5453734386262,7.45462656137385,5.85688217326706,1.31286692829502,0.284877459811773,"",121,37,253,OK,20.2518181818182,20.3745454545455,10.1842433234421
2,20.22,14.55,10.02,26388,20.3224050632911,18542,7846,0.702667879339094,26388,TRUE,19.4546385542169,14.6634337349398,10.601877394636,12.1554749516386,19.118,0.0116046954330693,188.53280948482,0.115359640670208,0.115,20.4379629605146,0.103349581370593,260,168.094846524305,0.0120100592996145,35,51.4058840257761,0.00825500330451165,116,73.8314294482093,0.00288086411235241,109,42.85753305032,0.000874191882750487,6,89.5890285113239,10.4109714886761,7.15588507085524,2.49728942948797,0.757796988332897,"",32,215,50,OK,19.4546385542169,14.6634337349398,10.601877394636
3,15.72,13.36,11.48,98719,21.9707826086957,71003,27716,0.719243509354836,98719,TRUE,15.593064516129,13.3520967741935,11.8004494382022,27.3913769681966,21.68,0.0589274449820761,320.052011523394,0.706675580338652,0.707,22.8187470794339,0.641580890308365,515,297.23326444396,0.0650946900302869,81,105.235390137648,0.0509779671304774,212,116.211782932376,0.011098488640277,222,75.7860913739358,0.0030182342595325,6,90.7886034495359,9.21139655046411,7.21377228091677,1.57052103526181,0.427103234285542,"",242,35,75,OK,15.593064516129,13.3520967741935,11.8004494382022
4,14.9,17.6,13.81,49126,22.3466197183099,30114,19012,0.612995155314905,49126,TRUE,14,17.695,14.1189028213166,17.2125531152613,20.601,0.0232691472685382,234.681527845904,0.278673629556633,0.279,22.3270289256545,0.250583442120161,326,212.354498920249,0.0280901874364721,49,58.4358832336406,0.0204999853080252,92,56.6102135416968,0.00447502514589118,185,97.3084021449116,0.00311517698255565,8,89.9200410598006,10.0799589401994,7.35627025084523,1.60583014367413,1.11785854568007,"",19,119,226,OK,14,17.695,14.1189028213166
5,13.41,19.96,15.17,29938,12.0305405405405,16201,13737,0.541151713541319,29938,TRUE,12.44,19.92,15.3,13.3493994856304,10.86,0.0139963031594354,69.0532831403601,0.0843181228810816,0.084,11.4044264598208,0.077642609706284,119,57.6488566805394,0.00667551317479757,33,22.6311928367327,0.00512376634434314,55,24.8235374763197,0.00131464975458529,31,10.1941263674869,0.000237097075869132,6,92.0829438005725,7.9170561994275,6.07670826776998,1.55915443758089,0.281193494076621,"",199,246,34,OK,12.44,19.92,15.3
6,7.71,15.4,16.13,22764,22.7022077922078,17473,5291,0.767571604287471,22764,TRUE,7.13772727272727,15.7163636363636,16.4391304347826,15.9322485889383,21.111,0.0199362756324479,157.373269726913,0.229000819681454,0.229,22.0100426637041,0.213770501575473,169,135.363227063209,0.0152303181059808,25,52.1966160101123,0.0123486525035159,78,49.4357433908448,0.00209977832322027,66,33.7308676622514,0.000781887279244631,6,93.3492298729906,6.65077012700939,5.3924053724756,0.916930483541987,0.341434270991806,"",237,74,249,OK,7.13772727272727,15.7163636363636,16.4391304347826
7,25.66,19.58,6.86,94128,22.0222972972973,43400,50728,0.461074281828999,94128,TRUE,25.6407142857143,19.9207142857143,7.19956692913386,28.1580429913072,20.78,0.0622722871260824,426.967029977781,0.768773623453939,0.769,22.1547703127189,0.614602626079827,733,404.812259665062,0.154170997374112,92,128.110892392375,0.132018562211324,321,166.90032558609,0.0182362227966375,320,109.801041686597,0.00391621236615052,6,79.9458523718005,20.0541476281995,17.17261859456,2.37211868881583,0.50941034482372,"",61,254,185,OK,25.6407142857143,19.9207142857143,7.19956692913386
8,25.37,14.47,7.6,30304,23.0709570957096,18580,11724,0.613120380147835,30304,TRUE,24.53,14.559,7.8976,15.0294208113792,18.812,0.0177408478129307,290.900160912246,0.195739143879804,0.196,20.9140019253677,0.156461894925806,415,269.986158986878,0.0392772489539979,54,57.8590496266336,0.0268351440987348,104,79.5533320471552,0.00816679211090027,257,132.57377731309,0.00427531274436285,7,79.9338812996359,20.0661187003641,13.7096461989296,4.17228355505386,2.18418894638068,"",251,109,33,OK,24.53,14.559,7.8976
9,23.42,23.4,8.33,53534,19.7909090909091,32615,20919,0.609238988306497,53534,TRUE,22.205,23.775,8.64796296296296,14.0336374375483,18.312,0.0154678654572829,416.096387979247,0.193532646929894,0.194,19.2804438257665,0.126310906997078,572,396.81594415348,0.0672217399328159,49,100.619497047061,0.0531060084731942,171,142.227962408854,0.00991254420627758,352,153.968484697565,0.0042031872533441,8,65.2659429821333,34.7340570178667,27.440335941063,5.12189770745416,2.1718233693495,"",47,37,217,OK,22.205,23.775,8.64796296296296
10,22.29,12.75,8.83,21682,18.4215540540541,15583,6099,0.718706761368877,21682,TRUE,21.82,13.1457142857143,9.09898550724638,13.0982508571634,16.841,0.0134746188355991,137.915696919733,0.134316196420964,0.134,17.4639882358357,0.122993464738618,189,120.451708683897,0.0113227316823463,41,50.174399302259,0.00919151221019766,86,51.8033566521441,0.00173058848081607,62,18.473952729494,0.000400630991332546,6,91.5700920782037,8.42990792179627,6.84318976796388,1.2884436329571,0.298274520875292,"",72,215,27,OK,21.82,13.1457142857143,9.09898550724638
