treeID,Rank_structural,Structural_score,Rank_volume,Rank_DBH,Rank_height,Rank_branches,DBH_cm,H_m,BA_m2,Volume_total_m3,Stem_volume_m3,Branch_volume_total_m3,Branch_count,B1_primary_count,B2_secondary_count,B3_tertiary_plus_count,Max_branch_order,Stem_volume_pct,Branch_volume_pct,X_tree,Y_tree,Z_tree,R,G,B
23,1,1.93297349082272,1,1,1,5,39.7971313526729,26.313,0.124392277199601,1.50909724189521,1.29944748719345,0.209649754701768,927,99,388,440,6,86.1076046737401,13.8923953262599,11.1965789473684,12.0992105263158,13.2667987804878,67,216,63
22,2,1.82087113347789,2,2,2,4,37.0565052703835,22.776,0.107849664937919,1.30160941538987,1.11450936930087,0.187100046089,934,76,339,519,7,85.6254845826421,14.3745154173579,15.4886506599441,21.1478020141669,13.423606557377,113,65,248
213,3,1.79477869099602,7,5,13,2,30.50215547463,20.406,0.0730719912404248,0.773889739178249,0.542699919516137,0.231189819662112,1237,40,177,1020,10,70.1262585665499,29.8737414334501,20.5233333333333,7.96333333333335,7.7543137254902,126,24,217
121,4,1.57559324864403,9,14,4,1,22.7896251365697,21.766,0.0407909898819078,0.741036912760539,0.358138636106157,0.382898276654382,1706,67,376,1263,9,48.3293922258212,51.6706077741788,25.0752739726027,7.53828767123288,5.65364077669903,246,17,160
210,5,1.46805976506954,6,13,7,3,26.326590965815,21.154,0.0544351135453853,0.784501954874311,0.510390190590315,0.274111764283996,1095,53,277,765,8,65.0591355979587,34.9408644020413,22.8516869631053,25.7629971373795,7.976213637762,242,38,159
24,6,1.38504100141844,4,9,3,8,28.8553883714439,22.594,0.0653948773041016,0.819515857284983,0.723241494403786,0.0962743628811967,654,106,300,248,7,88.2522879788868,11.7477120211132,10.6337974683544,11.7339240506329,13.5062025316456,248,61,121
18,7,1.25251597776338,3,3,28,15,33.0075314462994,17.177,0.0855689046639739,1.06503145855575,0.836430607601734,0.228600850954014,457,55,144,258,6,78.5357653881876,21.4642346118124,14.683275862069,12.8291379310345,12.0933592017738,167,246,62
14,8,1.23261089300279,12,7,30,16,29.3462015421226,17.058,0.0676384540923136,0.689474427864804,0.602865612168881,0.0866088156959224,424,79,188,157,8,87.4384295927934,12.5615704072066,19.645,19.6873333333333,10.7818784530387,175,58,254
17,9,1.22747918093969,5,6,6,10,30.3503314746694,21.539,0.0723463722463875,0.806821895239254,0.656664258748373,0.150157636490881,538,45,215,278,6,81.3889983183521,18.6110016816479,17.4145454545455,15.9718181818182,12.0110789473684,55,105,236
7,10,1.18263969470556,8,11,10,6,28.1580429913072,20.78,0.0622722871260824,0.768773623453939,0.614602626079827,0.154170997374112,733,92,321,320,6,79.9458523718005,20.0541476281995,25.6407142857143,19.9207142857143,7.19956692913386,61,254,185
